condition,baseline,n_pairs,mean_diff,sd_diff,diff_ci95_lo,diff_ci95_hi,median_diff,rel_impr_mean_pct,rel_impr_min_pct,t_stat,p_t,p_wilcoxon_onesided,cohens_dz,all_seeds_positive,p_t_holm,sig_holm_0.05
clean_native_history,MS-GRU,5,0.10741995135088334,0.008115113995514595,0.09734370646133336,0.11749619624043331,0.10994540928297081,6.190950590936389,5.572800107670112,29.59888345290756,7.758046270415933e-06,0.03125,13.237023091759001,True,8.533850897457526e-05,True
clean_native_history,MS-TCN-v2,5,0.11585288876292892,0.009540951272162531,0.1040062330596683,0.12769954446618953,0.11734993966371254,6.644135888452736,6.146487498630102,27.151897884592568,1.0940404280669377e-05,0.03125,12.142697877616344,True,8.533850897457526e-05,True
iid_random_10pct,MS-GRU,5,0.10847061391910895,0.008396850617017736,0.09804454680966296,0.11889668102855494,0.11023771470703636,6.205843337851103,5.532351482131069,28.885552136975708,8.550007296831365e-06,0.03125,12.918011629178402,True,8.533850897457526e-05,True
iid_random_10pct,MS-TCN-v2,5,0.11915028169183368,0.010441648077085171,0.10618526319260346,0.1321153001910639,0.11977274126732906,6.774760395380378,6.212557421661295,25.515907779527772,1.4011129743116233e-05,0.03125,11.411060860527964,True,8.533850897457526e-05,True
iid_random_30pct,MS-GRU,5,0.10932139642894345,0.008842596530666947,0.0983418626661728,0.1203009301917141,0.11031905179201029,6.134084818217103,5.383017142426287,27.64460336537404,1.0184289187504195e-05,0.03125,12.363042467199163,True,8.533850897457526e-05,True
iid_random_30pct,MS-TCN-v2,5,0.1241976041183607,0.011415428204413111,0.1100234778928611,0.1383717303438603,0.12222673364816483,6.910306957395514,6.331419104108768,24.327977932873363,1.6937567195519363e-05,0.03125,10.87980248260393,True,8.533850897457526e-05,True
iid_random_50pct,MS-GRU,5,0.10705052813644063,0.010884008307344923,0.09353624686505975,0.12056480940782151,0.10995485708541808,5.81437434392117,4.866118293976387,21.993024185657603,2.5295846763013776e-05,0.03125,9.83557942198547,True,8.533850897457526e-05,True
iid_random_50pct,MS-TCN-v2,5,0.12496996174405024,0.011424105802443062,0.11078506085748596,0.13915486263061452,0.11984403429649504,6.72225213437559,6.270704297101935,24.46067416020303,1.6575017203679338e-05,0.03125,10.939146039537311,True,8.533850897457526e-05,True
spatial_geographic_knn4_cluster_16_full_history,MS-GRU,5,0.12093392268588703,0.008066366286737738,0.11091820607132019,0.13094963930045386,0.12212636948507516,6.750943772843589,6.147074471120313,33.5239514669636,4.722354682214116e-06,0.03125,14.992366870906883,True,8.365799581874789e-05,True
spatial_geographic_knn4_cluster_16_full_history,MS-TCN-v2,5,0.12860909212233965,0.009469400642719464,0.1168512782597073,0.14036690598497198,0.13025980696484862,7.148254927026822,6.6485963787021,30.36925813580278,7.0029622036528565e-06,0.03125,13.581545123578712,True,8.403554644383428e-05,True
spatial_geographic_knn4_cluster_32_full_history,MS-GRU,5,0.13228923648191815,0.008273110519530147,0.12201681299665673,0.14256165996717957,0.13214544620468427,7.184848252574627,6.54891646772696,35.75532138327023,3.6519699010472648e-06,0.03125,15.990265834068808,True,7.30393980209453e-05,True
spatial_geographic_knn4_cluster_32_full_history,MS-TCN-v2,5,0.13853659362603848,0.009851813948072637,0.126303950929715,0.15076923632236197,0.13981355088217984,7.498082254966013,6.941371353678135,31.443675484725276,6.0967069034837335e-06,0.03125,14.062039169257874,True,8.365799581874789e-05,True
spatial_geographic_knn4_cluster_8_full_history,MS-GRU,5,0.11488300145904215,0.00811447663358786,0.10480754795885043,0.12495845495923387,0.11684320870992382,6.520934596058599,5.9065842394960715,31.65776578347754,5.9339900523151e-06,0.03125,14.157783261524534,True,8.365799581874789e-05,True
spatial_geographic_knn4_cluster_8_full_history,MS-TCN-v2,5,0.12273307276077787,0.009491697499351146,0.11094757369399286,0.13451857182756288,0.1245237270213706,6.93507834075579,6.457281133145978,28.913636765108436,8.51696774648478e-06,0.03125,12.930571456703916,True,8.533850897457526e-05,True
temporal_tail_25pct_sensors_3steps,MS-GRU,5,0.12085471424553482,0.008171213289012574,0.11070881288292374,0.1310006156081459,0.12346337374910643,6.727682934949774,6.008940359499874,33.07212122558415,4.984947418755888e-06,0.03125,14.790302244103964,True,8.365799581874789e-05,True
temporal_tail_25pct_sensors_3steps,MS-TCN-v2,5,0.1294668238909294,0.011591732440184688,0.1150737870431414,0.1438598607387174,0.1304701628600602,7.171353535873543,6.625133484843409,24.974404865274774,1.5259590855196578e-05,0.03125,11.168893395271176,True,8.533850897457526e-05,True
temporal_tail_50pct_sensors_6steps,MS-GRU,5,0.15175704544190607,0.010081905852728551,0.13923870591129323,0.16427538497251892,0.15460224610432838,7.82691051663649,6.968056286831312,33.65822639385076,4.647666434374883e-06,0.03125,15.052416443745582,True,8.365799581874789e-05,True
temporal_tail_50pct_sensors_6steps,MS-TCN-v2,5,0.15618822427730655,0.01295901697605346,0.14009747944602957,0.17227896910858354,0.15480839910779265,8.036012596101184,7.413950204604275,26.950152732603353,1.1270170944692555e-05,0.03125,12.052474702820563,True,8.533850897457526e-05,True
temporal_tail_75pct_sensors_12steps,MS-GRU,5,0.2639868169827455,0.0176134310150559,0.24211685380650502,0.285856780158986,0.272347147455704,10.33133354611535,9.581700679071696,33.51376954510651,4.728079164081856e-06,0.03125,14.987813377024073,True,8.365799581874789e-05,True
temporal_tail_75pct_sensors_12steps,MS-TCN-v2,5,0.25818615549378937,0.01621007147446552,0.23805869333563573,0.278313617651943,0.26128263783912864,10.127611101680973,9.31328156910238,35.61500610548538,3.7097104602772433e-06,0.03125,15.927514934187071,True,7.30393980209453e-05,True
